_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4765,13446042.0,Steeles Ave W,Keele St,88,305242.222,4849068.648,-79.494506,43.781579,88,"{u'type': u'Point', u'coordinates': (-79.4945059992, 43.7815790029)}",,,,2017-03-10T05:00:00,,KEELE ST,STEELES AVE W,KEELE ST,88,,602,,31,Humber River-Black Creek(7),,York Centre(6),,Steeles Ave W And Keele St,Etobicoke York,6097,STEELES AVE W
4766,13467345.0,University Ave,Wellington St W,89,314150.077,4834055.487,-79.38409899999999,43.646383,89,"{u'type': u'Point', u'coordinates': (-79.3840989923, 43.6463830047)}",,,,2017-09-06T04:00:00,,WELLINGTON ST W,UNIVERSITY AVE,WELLINGTON ST W,89,,76,,52,Spadina-Fort York(10),,,,University Ave And Wellington St W,Toronto and East York,6098,UNIVERSITY AVE
4767,13452362.0,Albion Rd,Kipling Ave,90,298323.785,4844421.833000001,-79.580402,43.739724,90,"{u'type': u'Point', u'coordinates': (-79.5804020029, 43.7397240059)}",,,,2017-07-10T04:00:00,,KIPLING AVE,ALBION RD,KIPLING AVE,90,,734,,23,Etobicoke North(1),,,,Albion Rd And Kipling Ave,Etobicoke York,6099,ALBION RD
4768,13469800.0,The Queensway,Kipling Ave,91,302641.813,4831220.298,-79.526741,43.620917999999996,91,"{u'type': u'Point', u'coordinates': (-79.5267410053, 43.6209179957)}",,,,2018-09-05T04:00:00,,KIPLING AVE,THE QUEENSWAY,KIPLING AVE,91,,568,,22,Etobicoke-Lakeshore(3),,,,The Queensway And Kipling Ave,Etobicoke York,6100,THE QUEENSWAY
4769,13444088.0,Finch Ave E,Gordon Baker Rd,92,317574.298,4850588.244,-79.341261,43.795147,92,"{u'type': u'Point', u'coordinates': (-79.3412610046, 43.795147)}",,,,2017-11-30T05:00:00,FINCH E 404 N RAMP,GORDON BAKER RD,FINCH AVE E,GORDON BAKER RD,92,,1181,,33,Don Valley North(17),,,,Finch Ave E And Gordon Baker Rd / Finch E 404 N Ramp,North York,6101,FINCH AVE E
4770,13463674.0,Jarvis St,Isabella St,93,314521.331,4836556.757,-79.379452,43.668893,93,"{u'type': u'Point', u'coordinates': (-79.379452005, 43.6688930027)}",,,,2017-03-13T04:00:00,,ISABELLA ST,JARVIS ST,ISABELLA ST,93,,12,,51,Toronto Centre(13),,,,Jarvis St And Isabella St,Toronto and East York,6102,JARVIS ST
4771,13452352.0,Danforth Rd,Brimley Rd,94,325149.24,4843944.106000001,-79.247384,43.735172999999996,94,"{u'type': u'Point', u'coordinates': (-79.247384001, 43.7351730038)}",,43.0,,2017-03-10T05:00:00,,BRIMLEY RD,DANFORTH RD,BRIMLEY RD,94,,378,,41,Scarborough Southwest(20),,,,Danforth Rd And Brimley Rd,Scarborough,6103,DANFORTH RD
4772,13464879.0,Dundas St E,River St,95,316239.679,4835704.598,-79.358162,43.661198,95,"{u'type': u'Point', u'coordinates': (-79.3581619937, 43.6611979985)}",,,,2017-07-10T04:00:00,,RIVER ST,DUNDAS ST E,RIVER ST,95,,293,,51,Toronto Centre(13),,,,Dundas St E And River St,Toronto and East York,6104,DUNDAS ST E
4773,13442036.0,McCowan Rd,McNicoll Ave,96,323142.614,4853133.6219999995,-79.27198,43.817941,96,"{u'type': u'Point', u'coordinates': (-79.2719800058, 43.8179410083)}",,,,2017-03-14T04:00:00,,MCNICOLL AVE,MCCOWAN RD,MCNICOLL AVE,96,,1493,,42,Scarborough North(23),,,,Mccowan Rd And Mcnicoll Ave,Scarborough,6105,MCCOWAN RD
4774,13463362.0,St Clair Ave W,Gunns Rd,97,307128.53,4836870.943,-79.471124,43.671781,97,"{u'type': u'Point', u'coordinates': (-79.4711240064, 43.6717810093)}",,11.0,,2017-07-10T04:00:00,OLD STOCK YARDS RD,GUNNS RD,ST CLAIR AVE W,GUNNS RD,97,HOME DEPOT ENTRANCE,1404,,12,York South-Weston(5),,,,St Clair Ave W And Gunns Rd / Old Stock Yards Rd @ Home Depot Entrance,Etobicoke York,6106,ST CLAIR AVE W
4775,13467505.0,Spadina Ave,King St W,98,313267.078,4833952.883,-79.395046,43.64547,98,"{u'type': u'Point', u'coordinates': (-79.3950459963, 43.645470003)}",,52.0,,2017-11-03T04:00:00,,KING ST W,SPADINA AVE,KING ST W,98,,273,,14,Spadina-Fort York(10),,,,Spadina Ave And King St W,Toronto and East York,6107,SPADINA AVE
4776,13444619.0,Sheppard Ave E,McCowan Rd,99,324208.963,4849990.231000001,-79.258838,43.78962,99,"{u'type': u'Point', u'coordinates': (-79.2588380089, 43.7896200076)}",,,,2017-03-10T05:00:00,,MCCOWAN RD,SHEPPARD AVE E,MCCOWAN RD,99,,938,,42,Scarborough North(23),,,,Sheppard Ave E And Mccowan Rd,Scarborough,6108,SHEPPARD AVE E
