,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,"Population, 2016",Home Prices,Speeding,Income Group
102,Don Valley Village,47,547.1,77.6,110.9,0.0,125.7,51.8,152.18,56780.0,72457.0,1,2,27051.0,478489.0,11,50-75K
103,Weston,113,1089.4,272.3,322.4,11.1,144.5,22.2,310.32,45119.0,57538.0,0,1,17992.0,280187.0,13,50-75K
104,Lawrence Park South,103,197.6,184.5,382.1,0.0,85.6,52.7,150.42,127853.0,250437.0,2,1,15179.0,1215390.0,10,250K+
105,Brookhaven-Amesbury,30,563.2,191.5,281.6,0.0,95.7,61.9,198.98,47040.0,59896.0,0,2,17757.0,352428.0,7,50-75K
106,Long Branch,19,585.1,119.0,287.6,0.0,297.5,19.8,218.17,52771.0,73058.0,1,1,10084.0,459088.0,6,50-75K
107,Malvern,132,760.4,162.1,100.5,2.3,105.0,22.8,192.18,57528.0,68011.0,0,5,43794.0,256488.0,39,50-75K
108,Dufferin Grove,83,789.1,50.9,373.4,0.0,271.5,67.9,258.8,47843.0,64089.0,1,0,11785.0,502736.0,19,50-75K
109,Maple Leaf,29,306.6,257.1,148.4,0.0,49.5,39.6,133.53,57721.0,73197.0,0,0,10111.0,540741.0,0,50-75K
110,Markland Wood,12,161.1,85.3,246.4,0.0,113.7,28.4,105.82,74376.0,102729.0,2,1,10554.0,505350.0,0,100-125K
111,Steeles,116,182.8,125.9,264.0,0.0,36.6,20.3,104.93,60946.0,75305.0,0,6,24623.0,440688.0,5,75-100K
112,Lawrence Park North,105,260.1,123.2,150.6,0.0,34.2,27.4,99.25,125667.0,188808.0,1,0,14607.0,980831.0,0,175-200K
113,Yonge-Eglinton,100,871.6,110.0,338.5,8.5,169.2,67.7,260.92,72977.0,126230.0,1,0,11817.0,975449.0,6,125-150K
114,Mimico,17,959.8,176.7,229.7,2.9,47.1,53.0,244.87,,,2,3,33964.0,429941.0,61,
115,Morningside,135,1048.4,45.8,97.4,5.7,114.6,22.9,222.47,54746.0,67038.0,0,0,17455.0,289646.0,3,50-75K
116,Moss Park,73,3106.4,229.2,1141.1,14.6,668.1,121.9,880.22,41295.0,66080.0,3,4,20506.0,457524.0,54,50-75K
117,Little Portugal,84,572.0,77.1,372.8,0.0,64.3,57.8,190.67,59886.0,73283.0,2,0,15559.0,514960.0,10,50-75K
118,Woodbine Corridor,64,781.4,71.8,263.1,0.0,87.7,23.9,204.65,72937.0,88615.0,0,0,12541.0,521549.0,11,75-100K
119,Newtonbrook East,50,410.0,167.7,329.3,0.0,74.5,49.7,171.87,61490.0,85842.0,1,0,16097.0,626626.0,14,75-100K
120,Milliken,130,372.6,312.4,496.8,3.8,124.2,82.8,232.1,60262.0,74319.0,1,3,26572.0,387879.0,13,50-75K
121,Pleasant View,46,278.2,151.7,75.9,0.0,94.8,25.3,104.32,65197.0,75839.0,0,1,15818.0,463859.0,8,75-100K
122,Wychwood,94,515.7,48.8,327.5,7.0,62.7,0.0,160.28,55941.0,84199.0,1,0,14349.0,656868.0,9,75-100K
123,Leaside-Bennington,56,184.2,190.2,261.5,0.0,11.9,41.6,114.9,102666.0,171367.0,3,0,16828.0,1071823.0,15,150-175K
124,Briar Hill-Belgravia,108,547.1,133.3,357.7,0.0,189.4,49.1,212.77,53990.0,65688.0,1,0,14257.0,373937.0,14,50-75K
125,Yonge-St.Clair,97,295.3,47.9,223.5,0.0,31.9,47.9,107.75,71728.0,153993.0,1,0,12528.0,995616.0,3,150-175K
126,York University Heights,27,1340.9,521.9,391.4,0.0,286.3,101.5,440.33,45534.0,55531.0,3,1,27593.0,359372.0,22,50-75K
127,Lansing-Westgate,38,445.4,198.0,241.3,0.0,68.1,68.1,170.15,70571.0,111214.0,0,1,16164.0,646460.0,8,100-125K
128,Yorkdale-Glen Park,31,1411.8,412.1,567.4,6.8,283.7,195.9,479.62,54093.0,72429.0,3,2,14804.0,421045.0,5,50-75K
129,Stonegate-Queensway,16,327.3,135.7,255.5,0.0,87.8,16.0,137.05,78238.0,104117.0,3,2,25051.0,690949.0,8,100-125K
130,Tam O'Shanter-Sullivan,118,389.9,91.1,244.1,7.3,109.3,10.9,142.1,49720.0,65993.0,1,2,27446.0,411143.0,12,50-75K
131,The Beaches,63,375.6,92.7,264.3,0.0,74.2,41.7,141.42,85028.0,145586.0,4,2,21567.0,751945.0,6,125-150K
132,Thistletown-Beaumond Heights,3,714.3,482.6,125.5,0.0,67.6,29.0,236.5,62042.0,73512.0,0,2,10360.0,414216.0,2,50-75K
133,Thorncliffe Park,55,544.8,61.6,127.9,0.0,61.6,23.7,136.6,40795.0,51739.0,3,1,21108.0,313618.0,4,50-75K
134,Danforth East York,59,483.1,52.4,139.7,0.0,34.9,40.7,125.13,70739.0,84265.0,0,0,17180.0,518568.0,0,75-100K
135,Humewood-Cedarvale,106,320.2,111.4,181.0,0.0,69.6,27.8,118.33,57140.0,92623.0,0,0,14365.0,800442.0,8,75-100K
136,Islington-City Centre West,14,504.9,391.2,282.0,2.3,79.6,84.2,224.03,66537.0,89289.0,8,7,43965.0,491678.0,45,75-100K
137,Danforth,66,786.3,72.4,413.8,0.0,186.2,41.4,250.02,69640.0,85379.0,1,0,9666.0,585093.0,6,75-100K
138,Rustic,28,593.5,372.2,140.8,10.1,30.2,10.1,192.82,43976.0,56844.0,0,1,9941.0,493442.0,0,50-75K
139,Scarborough Village,139,1046.4,107.6,239.2,0.0,167.4,12.0,262.1,42131.0,62141.0,1,0,16724.0,356096.0,11,50-75K
