,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,Neighbourhood_x,"Population, 2016",Home Prices,Social Housing as a Percentage of Households,Social Housing Waitlist as a Percentage of Social Housing,Census Residents per Private dwellings,Percentage of Housing Single-detached,Percentage of Housing Apartments,Percentage of Housing Attached,Percentage of 1-person Households,Percentage of 2-person Households,Percentage of 3-person or More Households,Percentage of Households with Income < 10k,Percentage of Households with Income < 20k,Percentage of Households with Income < 30k,Percentage of Households with Income > 150k,Percentage of Households with Income > 200k,Percentage of Unsuitable Housing,Percentage of Dwellings Built in 1960 or Before,Percentage of Dwellings Built in 1990 or Before,Percentage of Dwellings Built in 2005 or Before,Percentage of Dwellings Built in 1991 or After,Percentage of Dwellings Built in 2006 or After,Percentage of Dwellings Requiring Only Regular Maintenance or Minor Repairs,Percentage of Households with Maintainer aged 34 and under,Percentage of Households with Maintainer aged 65 and older,Percentage of Households Spending over 30% of Income on Shelter,Speeding,Income Group
77,Lambton Baby Point,114,338.1,137.8,200.4,0.0,75.1,12.5,127.32,69525.0,131273.0,0.0,,Lambton Baby Point,7985.0,806452.0,20.018650917003423,0.14596273291925466,2.48212620453839,40.70512820512821,33.17307692307692,26.44230769230769,25.961538461538463,29.487179487179485,44.551282051282044,4.006410256410256,12.980769230769232,21.794871794871803,30.448717948717945,20.673076923076927,0.07200000000000001,69.76,94.88,97.28,4.64,2.24,90.04815409309792,12.32,21.12,23.2,,125-150K
78,Bay Street Corridor,76,3550.8,193.8,798.5,11.6,476.8,283.0,885.75,50363.0,84580.0,26.0,5.0,Bay Street Corridor,25797.0,457787.0,2.8259926231286614,0.5201535508637236,1.3992731612063354,0.03316749585406302,99.76782752902157,0.16583747927031509,50.44776119402986,35.35655058043117,14.129353233830845,21.5257048092869,31.011608623548927,38.57379767827529,12.305140961857381,7.330016583747928,0.12603648424543948,4.411276948590381,37.24709784411277,57.8441127694859,62.653399668325044,42.056384742951906,97.28026533996685,56.569343065693424,11.678832116788321,57.219610476830084,22.0,75-100K
79,Black Creek,24,943.1,326.6,170.2,0.0,193.2,41.4,279.08,41878.0,51384.0,0.0,1.0,Black Creek,21737.0,235143.0,18.667709555468647,0.5789106145251397,2.8336592360839528,9.289617486338797,64.13934426229507,26.775956284153004,22.646657571623464,24.82946793997272,52.25102319236017,4.232081911262799,16.72354948805461,29.283276450511945,3.1399317406143346,0.5460750853242321,0.26639344262295084,17.07650273224044,92.4863387978142,99.04371584699452,7.513661202185792,0.9562841530054644,86.47540983606558,15.552523874488404,23.53342428376535,36.81693989071038,15.0,50-75K
80,Willowdale East,51,333.1,113.0,174.5,0.0,79.3,47.6,124.58,64362.0,84813.0,2.0,1.0,Willowdale East,50434.0,540911.0,0.8702564746244927,2.0384615384615383,2.1101209154428684,15.17256835499776,79.56073509636934,5.289108023307934,33.131584846446984,32.27975790181573,34.633490248823136,12.239408204438467,19.569603227975787,27.41537771800045,13.651647612642904,7.195696032279757,0.14013452914798205,6.769782559964134,24.747814391392065,68.21340506612867,75.18493611297916,31.719345438242545,97.10762331838563,30.71748878923767,16.591928251121075,50.259418001353495,22.0,75-100K
81,Willowdale West,37,661.3,183.0,124.0,0.0,165.3,59.0,198.77,60537.0,82203.0,1.0,,Willowdale West,16936.0,541247.0,6.543332505587286,0.33396584440227706,2.102806059101068,26.887417218543053,63.907284768211916,9.139072847682119,35.25513585155732,32.40556660039761,32.40556660039761,10.397350993377485,21.721854304635762,30.198675496688747,15.960264900662253,8.47682119205298,0.0992063492063492,21.81097157964309,45.869134170522145,66.42432253800396,54.06477197620621,33.50958360872439,94.9074074074074,24.66931216931217,28.17460317460317,46.24085163007319,,75-100K
82,Rouge,131,391.4,187.1,126.9,0.0,68.8,28.0,133.7,81553.0,96452.0,1.0,2.0,Rouge,46496.0,426850.0,3.801893663510561,0.7873563218390804,3.386453022578296,56.966753828912964,11.878968995143818,31.303698169592828,12.21060492905153,21.620612397311426,66.01941747572816,1.3059701492537314,3.805970149253731,8.059701492537313,20.149253731343286,8.022388059701491,0.11019798281658573,5.115758028379386,49.551904406273344,88.49887976101569,50.26138909634055,11.314413741598209,96.71396564600448,8.66318147871546,21.88200149365198,29.222720478325854,68.0,75-100K
83,Mount Olive-Silverstone-Jamestown,2,813.3,267.0,109.2,9.1,166.9,27.3,232.13,49934.0,58605.0,0.0,,Mount Olive-Silverstone-Jamestown,32954.0,251119.0,11.2133072407045,0.9153577661431064,3.2244618395303326,16.767983789260384,63.37386018237083,19.807497467071933,15.2834008097166,20.69838056680162,63.76518218623482,3.64741641337386,10.99290780141844,20.314083080040525,4.407294832826747,1.1144883485309016,0.3093670886075949,14.227848101265822,83.64556962025317,98.73417721518987,16.354430379746834,1.2658227848101269,90.01520527116068,13.360323886639677,19.63562753036437,37.658388241256965,38.0,50-75K
84,Cabbagetown-South St.James Town,71,1079.8,188.5,925.5,0.0,145.7,34.3,395.63,,,0.0,,Cabbagetown-South St. James Town,11669.0,537025.0,21.209880195237393,0.2496513249651325,1.7259281171424343,2.4844720496894412,77.87267080745342,19.720496894409933,51.5928515928516,33.7995337995338,14.607614607614607,5.2018633540372665,18.245341614906827,27.48447204968944,17.08074534161491,10.869565217391305,0.05585725368502716,41.61490683229814,87.88819875776397,95.65217391304348,11.801242236024844,4.037267080745342,89.51863354037269,22.903726708074533,23.05900621118013,38.85003885003885,20.0,
85,Mount Pleasant East,99,280.2,95.4,292.1,0.0,77.5,17.9,127.18,84873.0,132862.0,0.0,,Mount Pleasant East,16775.0,815247.0,4.316267012313674,0.3033033033033033,2.174335709656513,29.032258064516128,44.75806451612904,26.14247311827957,35.642232683254875,29.18628110289173,35.10423671822461,3.3602150537634414,9.879032258064516,15.92741935483871,33.60215053763441,23.387096774193548,0.0531271015467384,54.6738399462004,84.93611297915265,93.27505043712172,15.063887020847346,6.724949562878279,94.4855413584398,16.812373907195695,23.940820443846675,29.42760942760943,7.0,125-150K
86,Mount Pleasant West,104,472.0,37.1,401.2,6.7,50.6,23.6,165.2,55802.0,75407.0,6.0,,Mount Pleasant West,29658.0,520032.0,7.802108678021088,0.3111573111573112,1.6035685320356854,2.715837621497999,94.56832475700399,2.8016009148084615,55.27293512432124,30.808802515004288,13.946841954844242,6.975414522584334,16.49514008004574,24.47112635791881,11.778158947970269,6.260720411663808,0.09694023448670287,15.375821663332381,64.53272363532436,82.82366390397256,35.46727636467562,17.176336096027438,95.28301886792453,32.95227207773649,17.862246356101746,41.74062410535356,13.0,75-100K
87,Blake-Jones,69,905.9,90.6,232.9,0.0,129.4,51.8,235.1,55411.0,76451.0,0.0,,Blake-Jones,7727.0,571246.0,20.12847965738758,0.3100303951367781,2.363719791985317,15.814696485623006,40.41533546325879,43.76996805111821,30.830670926517573,30.511182108626198,38.33865814696485,4.64,17.92,26.72,20.64,10.24,0.07188498402555911,70.51282051282051,95.19230769230771,98.87820512820512,4.807692307692308,1.1217948717948718,90.8653846153846,16.8,19.52,31.08974358974359,,75-100K
88,Rexdale-Kipling,4,588.8,474.9,142.5,19.0,218.4,28.5,245.35,56545.0,66781.0,0.0,,Rexdale-Kipling,10529.0,392271.0,10.82978190022562,0.4305555555555556,2.6395086487841564,46.103896103896105,29.350649350649352,24.415584415584416,25.617685305591678,27.178153446033807,46.94408322496749,4.285714285714286,12.857142857142858,21.688311688311693,8.7012987012987,2.467532467532468,0.140625,58.64759427828349,94.148244473342,97.91937581274382,5.851755526657997,2.0806241872561766,93.23797139141745,13.003901170351105,25.8777633289987,30.859375,7.0,50-75K
89,East End-Danforth,62,869.9,74.8,285.3,0.0,126.3,42.1,233.07,63526.0,85940.0,2.0,,East End-Danforth,21381.0,535867.0,10.487676979549029,0.599,2.242370214997378,19.281045751633986,47.11328976034858,33.442265795206964,34.458356015242245,29.55906369080022,35.873707131192155,5.231607629427793,16.185286103542236,25.122615803814718,20.381471389645775,10.354223433242506,0.08496732026143791,58.7465940054496,84.74114441416894,95.3133514986376,15.367847411444142,4.795640326975477,92.4333151878062,15.296679368535655,18.835057158410454,31.297709923664122,13.0,75-100K
90,New Toronto,18,968.3,191.9,209.4,0.0,148.3,8.7,254.43,44141.0,61562.0,0.0,,New Toronto,11463.0,460811.0,21.018207530493196,0.32716568544995794,2.026339048965883,28.930232558139533,58.511627906976734,12.651162790697676,40.968342644320295,30.16759776536313,28.677839851024213,5.395348837209302,19.348837209302324,31.255813953488367,11.255813953488374,4.186046511627906,0.09124767225325883,46.23255813953488,74.69767441860466,92.74418604651164,25.488372093023248,7.441860465116278,91.25581395348836,20.093023255813954,20.837209302325586,39.162790697674424,7.0,50-75K
91,Palmerston-Little Italy,80,723.3,86.8,361.6,0.0,108.5,94.0,229.03,59378.0,85549.0,0.0,1.0,Palmerston-Little Italy,13826.0,781568.0,3.818128825415331,0.648854961832061,2.0148644709997083,5.608214849921012,66.35071090047393,28.357030015797786,35.30805687203792,35.15007898894155,29.62085308056872,4.344391785150078,12.717219589257505,20.93206951026856,18.641390205371252,10.268562401263825,0.05608214849921011,75.98736176935229,94.62875197472354,97.70932069510269,5.292259083728278,2.2116903633491307,89.26598263614838,38.01261829652997,19.716088328075713,37.569060773480665,5.0,75-100K
