,Cities,Median_Income,Average_Income
77,Mimico (includes Humber Bay Shores),64589.0,86002.0
78,Morningside,54746.0,67038.0
79,Moss Park,41295.0,66080.0
80,Mount Dennis,46811.0,61397.0
81,Mount Olive-Silverstone-Jamestown,49934.0,58605.0
82,Mount Pleasant East,84873.0,132862.0
83,Mount Pleasant West,55802.0,75407.0
84,New Toronto,44141.0,61562.0
85,Newtonbrook East,61490.0,85842.0
86,Newtonbrook West,50150.0,70153.0
87,Niagara,70862.0,91004.0
88,North Riverdale,80260.0,116136.0
89,North St. James Town,32514.0,44096.0
90,Oakridge,33980.0,45727.0
91,Oakwood Village,49838.0,66022.0
92,O'Connor-Parkview,54491.0,72779.0
93,Old East York,72230.0,91601.0
94,Palmerston-Little Italy,59378.0,85549.0
95,Parkwoods-Donalda,59027.0,79219.0
96,Pelmo Park-Humberlea,67412.0,79193.0
97,Playter Estates-Danforth,62185.0,104631.0
98,Pleasant View,65197.0,75839.0
99,Princess-Rosethorn,114844.0,174858.0
100,Regent Park,32172.0,49191.0
101,Rexdale-Kipling,56545.0,66781.0
102,Rockcliffe-Smythe,49695.0,61303.0
103,Roncesvalles,52154.0,78614.0
104,Rosedale-Moore Park,88855.0,233818.0
105,Rouge,81553.0,96452.0
106,Runnymede-Bloor West Village,91230.0,122523.0
107,Rustic,43976.0,56844.0
108,Scarborough Village,42131.0,62141.0
109,South Parkdale,35601.0,46896.0
110,South Riverdale,65076.0,83491.0
111,St.Andrew-Windfields,94271.0,189629.0
112,Steeles,60946.0,75305.0
113,Stonegate-Queensway,78238.0,104117.0
114,Tam O'Shanter-Sullivan,49720.0,65993.0
115,Taylor-Massey,40915.0,51242.0
116,The Beaches,85028.0,145586.0
117,Thistletown-Beaumond Heights,62042.0,73512.0
118,Thorncliffe Park,40795.0,51739.0
119,Trinity-Bellwoods,56368.0,81093.0
120,University,51222.0,78493.0
121,Victoria Village,47529.0,60141.0
122,Waterfront Communities-The Island,69107.0,89892.0
123,West Hill,49713.0,63461.0
124,West Humber-Clairville,66241.0,76228.0
125,Westminster-Branson,45888.0,63719.0
126,Weston,45119.0,57538.0
127,Weston-Pelham Park,51205.0,62780.0
128,Wexford/Maryvale,58939.0,70251.0
129,Willowdale East,64362.0,84813.0
130,Willowdale West,60537.0,82203.0
131,Willowridge-Martingrove-Richview,63701.0,81035.0
132,Woburn,52018.0,63651.0
133,Woodbine Corridor,72937.0,88615.0
134,Woodbine-Lumsden,65259.0,75872.0
135,Wychwood,55941.0,84199.0
136,Yonge-Eglinton,72977.0,126230.0
137,Yonge-St.Clair,71728.0,153993.0
138,York University Heights,45534.0,55531.0
139,Yorkdale-Glen Park,54093.0,72429.0
